#Table1
class,subclass,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux
GALAXY,STARFORMING,84.98193,105.3115,648.1239,499.4438
GALAXY,,11.94251,10.0425,31.92871,46.08191
GALAXY,STARFORMING,34.57538,107.2656,569.126,244.7312
GALAXY,,59.36441,1.651009,50.33358,115.1155
GALAXY,,35.61948,11.74428,39.84387,25.56757
GALAXY,AGN,2095.57,369.7966,1413.031,1416.562
GALAXY,,70.05108,33.80684,159.3696,202.9392
GALAXY,STARFORMING,220.357,441.7253,1973.538,739.242
GALAXY,,56.60282,40.25194,91.30737,110.4662
GALAXY,STARBURST,26469.81,4141.521,14215.46,289.1529
GALAXY,,48.35786,39.17542,68.34614,78.72341
GALAXY,STARBURST,3972.619,1664.396,5655.418,664.9387
GALAXY,,86.76347,42.62683,120.1023,162.4303
GALAXY,BROADLINE,65.45517,42.93926,130.0619,182.8683
GALAXY,BROADLINE,117.8674,69.882,190.234,166.8004
GALAXY,STARFORMING,253.1707,143.4013,522.7062,291.0413
GALAXY,BROADLINE,39.12539,73.09166,244.0308,187.8475
GALAXY,,77.72681,34.5049,90.4764,64.37513
GALAXY,BROADLINE,104.0799,103.2847,205.6774,137.9651
GALAXY,,81.09055,50.02194,155.1755,161.7245
GALAXY,,38.75773,59.89264,112.8104,69.03981
GALAXY,,59.3093,41.38522,105.1346,106.9596
GALAXY,,36.84269,7.744568,18.27644,30.37207
GALAXY,STARBURST,2554.437,4266.413,14511.21,3580.823
GALAXY,STARBURST,2402.944,3685.008,13171.2,3451.395
GALAXY,BROADLINE,176.955,55.05654,249.5112,133.6092
GALAXY,BROADLINE,24.81091,17.75634,93.27818,98.9289
GALAXY,BROADLINE,48.47398,15.54669,46.45082,16.98892
GALAXY,STARFORMING BROADLINE,31.79686,57.48275,331.4339,142.6109
GALAXY,BROADLINE,15.28461,14.70462,36.89135,17.68205
GALAXY,BROADLINE,82.0985,38.93745,139.2496,221.4858
GALAXY,BROADLINE,89.08842,37.23289,198.7292,332.4998
GALAXY,,98.60059,59.21202,105.3144,152.0574
GALAXY,,101.2632,91.96197,214.1108,104.1592
GALAXY,STARBURST,1267.279,1461.345,5745.364,1467.125
GALAXY,,85.76681,48.0264,289.6452,355.5422
GALAXY,STARBURST,1522.805,1020.533,4107.485,825.7416
GALAXY,STARFORMING,237.8362,378.2467,1424.602,1030.707
GALAXY,BROADLINE,125.7614,31.65729,58.20346,81.42362
GALAXY,BROADLINE,45.82301,67.11811,287.9997,200.7984
GALAXY,,12.17255,11.76134,27.86234,20.83617
GALAXY,STARFORMING,322.9424,273.2791,1393.726,952.0886
GALAXY,,9.345302,8.257679,28.8268,6.28396
GALAXY,STARBURST,1908.705,1122.382,3673.269,577.8633
GALAXY,,97.45383,31.80198,119.1051,197.3107
GALAXY,STARFORMING,472.7678,668.8507,2406.694,1033.228
GALAXY,BROADLINE,151.4102,78.75883,235.927,250.981
GALAXY,BROADLINE,92.9495,59.19977,211.2329,327.9452
GALAXY,,49.25248,14.45674,51.92031,35.24107
GALAXY,,30.18468,19.33235,19.05285,49.05338
GALAXY,STARBURST,211.3408,720.7388,5146.56,2770.666
GALAXY,,58.93805,65.82576,136.6208,135.8701
GALAXY,BROADLINE,96.63137,12.30642,39.8664,95.55573
GALAXY,BROADLINE,56.14773,41.92478,189.5407,370.7054
GALAXY,STARFORMING,99.90306,167.7435,442.924,315.2292
GALAXY,,90.399,30.45496,37.88414,34.37884
GALAXY,,5.325305,5.202393,17.21699,5.540059
GALAXY,BROADLINE,253.7464,43.39046,117.6491,253.228
GALAXY,BROADLINE,26.22335,11.50632,20.53416,26.25581
GALAXY,STARFORMING,188.0637,883.1303,3514.546,1512.794
GALAXY,,22.11375,28.69391,34.81719,13.25735
GALAXY,BROADLINE,86.70879,52.2738,170.908,269.4178
GALAXY,BROADLINE,42.79592,19.54442,49.43196,34.58287
GALAXY,AGN,100.043,103.394,337.1686,291.1169
GALAXY,STARFORMING,82.27954,505.3761,2517.918,957.5192
GALAXY,,43.62145,25.34258,87.25851,121.3354
GALAXY,AGN,1796.376,736.6923,3303.951,2371.508
GALAXY,BROADLINE,19.07298,20.03215,54.16376,72.97021
GALAXY,BROADLINE,48.84245,32.53046,99.42894,65.98099
GALAXY,,250.4309,80.11588,130.3978,167.134
GALAXY,BROADLINE,115.6748,87.11688,230.6528,284.2126
GALAXY,AGN,76.20796,118.3912,674.1603,709.0654
GALAXY,AGN,1485.509,386.1893,1945.398,2058.439
GALAXY,STARBURST,582.5078,1376.924,5056.438,2650.44
GALAXY,STARFORMING,259.5525,1035.821,4047.246,2067.57
GALAXY,BROADLINE,115.4839,75.37891,107.0577,39.38853
GALAXY,STARFORMING,704.2949,968.8214,4344.326,1926.079
GALAXY,BROADLINE,201.4387,103.3108,339.6618,293.2003
GALAXY,,41.38725,41.11842,111.9505,91.13499
GALAXY,BROADLINE,105.7228,108.8966,289.6988,433.0215
GALAXY,BROADLINE,145.5356,71.17275,197.6694,177.0869
GALAXY,BROADLINE,9.806031,12.54852,42.71727,6.064848
GALAXY,,8.523882,3.935501,21.68429,15.30843
GALAXY,STARBURST,14971.08,3191.568,10434.5,575.1768
GALAXY,,7.871997,9.432838,17.81231,8.41521
GALAXY,,58.11861,10.05955,40.3957,32.75682
GALAXY,,119.0176,39.59106,92.51445,162.7846
GALAXY,STARFORMING,844.5275,788.1033,3538.996,3200.918
GALAXY,AGN,5256.093,508.3492,2076.596,2522.573
GALAXY,STARBURST,1908.021,1389.635,4664.218,2376.142
GALAXY,,49.71776,9.100361,68.40558,97.42245
GALAXY,,100.819,32.08441,92.53187,121.7533
GALAXY,,6.418563,13.50155,21.90058,6.986509
GALAXY,BROADLINE,45.8197,29.02894,45.1242,47.85926
GALAXY,,46.3938,18.95379,79.71444,113.3956
GALAXY,,16.7865,15.63754,48.32508,40.55014
GALAXY,,17.21481,0.573159,8.231328,9.899628
