#Table1
specobjid,class,z,snmedian_g,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,OIII_Hbeta,Hbeta_Hgamma,OIII_Hgamma,E_BV
2568219256332249088,QSO,0.06521195,47.39406,4260.281,2226.578,868.7341,-29.46022,-11.93965,-5.039667,1.913376,2.563015,4.90401,0.0230756
2907107988646946816,QSO,0.1331618,44.56332,9180.033,4795.136,2261.436,-51.75267,-20.45918,-11.46482,1.914447,2.120395,4.059383,0.04058812
584419055767676928,QSO,0.2402315,45.88834,2442.218,2368.552,1205.612,-20.32894,-10.43072,-6.267013,1.031102,1.964605,2.025708,0.02099199
1191306322444838912,QSO,0.204809,40.06262,755.3818,2409.323,1124.563,-7.415027,-16.9973,-8.180568,0.3135245,2.142452,0.6717112,0.02150116
1625855042055596032,QSO,0.1145197,38.66998,951.3359,2711.675,1324.708,-5.843085,-12.26691,-6.42264,0.3508296,2.046999,0.7181479,0.02625755
466212752742967296,QSO,0.1846759,48.04957,1473.042,3112.576,1306.929,-18.86394,-20.72246,-9.828963,0.4732547,2.381596,1.127101,0.1184658
536072155624925184,QSO,0.05026412,39.49229,2367.825,3685.079,1811.943,-29.31319,-28.08086,-13.53556,0.642544,2.033772,1.306788,0.06889841
320958471644145664,QSO,0.2596902,38.24436,2002.034,923.6492,503.8788,-46.16981,-10.69686,-6.676981,2.167527,1.833078,3.973245,0.03197987
2501802983054927872,QSO,0.1426254,40.71203,4286.996,3572.795,1423.135,-49.94422,-24.84218,-10.95394,1.1999,2.510511,3.012361,0.02418874
2501874176432826368,QSO,0.05897063,45.00253,886.6225,2150.045,1126.438,-11.5472,-18.73977,-8.708666,0.4123738,1.908711,0.7871025,0.02191551
1377105100220164096,QSO,0.05014781,36.55472,2849.511,3397.969,1610.891,-29.28582,-22.88305,-10.27112,0.8385926,2.109372,1.768904,0.02880776
1624772023119013888,QSO,0.2248686,42.46271,524.3704,4215.459,1771.277,-4.37827,-21.6249,-10.53031,0.1243922,2.379898,0.2960408,0.02253275
2196799550142834688,QSO,0.07885244,46.30328,4883.344,8040.256,3266.457,-25.73394,-20.80499,-9.624524,0.6073617,2.461461,1.494997,0.01104522
2429723405663102976,QSO,0.136087,44.46289,724.6421,4356.603,1787.17,-5.677571,-24.24099,-10.53013,0.1663319,2.437711,0.4054691,0.04312729
2289095306417039360,QSO,0.2848447,40.27559,1063.173,3167.782,1516.804,-7.651133,-16.67516,-8.640867,0.3356205,2.088459,0.7009295,0.01505516
1829624234939279360,QSO,0.08044197,35.819,534.6088,2319.595,1068.148,-8.234655,-25.66527,-12.44667,0.230475,2.171605,0.5005008,0.02060772
3005150889850726400,QSO,0.08929483,40.09012,5258.064,9483.637,4790.24,-12.94457,-21.56355,-9.204815,0.5544354,1.979783,1.097662,0.4328821
3118861839753046016,QSO,0.1965366,52.8586,1147.471,4131.215,1683.841,-6.181537,-18.49032,-8.576478,0.2777563,2.453447,0.6814605,0.02233633
644136281151924224,QSO,0.1617697,37.06616,455.3734,1354.625,598.671,-10.90679,-16.94715,-9.277284,0.336162,2.26272,0.7606404,0.03441319
560785598068058112,QSO,0.07506416,35.90903,4715.926,3829.025,1666.83,-77.7935,-31.01656,-16.06247,1.231626,2.29719,2.829279,0.01333245
1944585334511659008,QSO,0.1188412,41.91333,1147.539,5024.298,2172.032,-6.33947,-21.31766,-9.054416,0.2283979,2.313178,0.528325,0.04138075
2258725145990424576,QSO,0.1863378,36.23889,615.4768,1308.8,680.9434,-9.067629,-11.47021,-7.356067,0.4702603,1.92204,0.903859,0.01489416
2819429083828480000,QSO,0.06329135,42.93248,7877.747,2802.729,1377.287,-106.8469,-25.17962,-11.45144,2.810742,2.034963,5.719755,0.02759106
1473924795308468224,QSO,0.05126621,36.23205,1165.69,1218.343,612.5424,-16.58011,-11.11801,-6.353217,0.9567834,1.988993,1.903035,0.01942769
2039038325670569984,QSO,0.2306872,35.42596,453.1424,1004.002,482.856,-15.62968,-16.43305,-8.139177,0.4513361,2.079299,0.9384628,0.02773762
1802598238709114880,QSO,0.1337497,41.87433,2310.751,3727.647,1729.409,-20.68782,-19.79977,-9.337962,0.6198953,2.155445,1.33615,0.02868453
486456411329423360,QSO,0.1179971,50.38049,3841.355,4723.809,2257.625,-34.62514,-24.48447,-13.9918,0.8131903,2.092379,1.701502,0.04918799
565354893062203392,QSO,0.2201104,36.86004,347.4914,832.4188,395.5272,-8.868632,-13.21841,-7.198588,0.4174479,2.10458,0.8785526,0.06144398
1101274185868535808,QSO,0.1103326,42.97108,5745.547,7375.022,3320.828,-46.01173,-31.24908,-14.50542,0.7790549,2.220839,1.730155,0.0337978
3119983891654404096,QSO,0.2610683,45.10627,394.0584,1618.641,764.3887,-4.874403,-14.25335,-7.22492,0.2434501,2.117563,0.515521,0.02582617
683593081873786880,QSO,0.2755408,37.66719,875.6961,1777.994,783.0153,-15.47044,-26.61959,-11.06669,0.4925191,2.270702,1.118364,0.01909766
1554990693598914560,QSO,0.08168268,39.11105,458.6283,1508.802,708.8468,-5.48113,-12.61329,-6.33282,0.3039684,2.128531,0.6470062,0.01165435
3122296439586187264,QSO,0.2134592,37.89766,411.323,1652.594,848.5931,-5.145241,-14.82997,-8.607565,0.2488954,1.947451,0.4847117,0.03172268
607021162081314816,QSO,0.1346648,40.50008,947.3425,2292.539,1127.194,-10.01528,-13.14289,-7.60513,0.4132285,2.033846,0.8404432,0.05099057
2048050489622292480,QSO,0.1743191,42.52341,2595.664,3329.567,1574.868,-26.08261,-17.07933,-9.529902,0.7795799,2.114187,1.648178,0.04324507
2434234152082499584,QSO,0.2161547,37.54329,1615.985,4474.285,1869.44,-9.428789,-20.94106,-8.850812,0.3611717,2.393383,0.864422,0.06868968
507817448758601728,QSO,0.1228317,47.7192,2443.264,2732.305,1338.04,-20.16541,-11.01267,-6.273474,0.8942135,2.042021,1.826002,0.02732966
1193534484704684032,QSO,0.1207952,35.10575,734.7431,1886.237,896.2451,-14.3226,-27.91396,-12.00434,0.3895285,2.1046,0.8198016,0.04288088
2661753336553826304,QSO,0.08180236,39.3395,486.0229,2499.298,1084.91,-9.703642,-37.89765,-15.68913,0.1944637,2.303692,0.4479845,0.03082279
313145066635945984,QSO,0.09478367,37.22327,706.7639,1421.419,726.966,-8.53159,-11.29103,-5.809944,0.4972242,1.955276,0.9722104,0.03967275
506813044886628352,QSO,0.1112474,42.54101,379.021,1109.689,585.86,-12.14783,-22.56711,-11.65674,0.341556,1.89412,0.6469482,0.0229581
